s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,Pa
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_METHANE,MLR_PRODUCTS,ZONE_1
 0.0000000E+000, 0.0000000E+000,-7.1521122E-005,-2.5681310E-010, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-7.1521378E-005, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 8.0754480E+000
 1.3463498E+000, 1.1258774E+001,-2.4731510E+000,-1.2878586E-003,-1.4577893E-001,-1.2792380E-003, 3.3454786E+000, 0.0000000E+000, 1.1461161E+001, 1.1982755E+001, 0.0000000E+000, 2.3715034E-004, 0.0000000E+000, 4.7591912E+002
 2.6711652E+000, 2.0586006E+001,-3.7333121E+000,-2.3433873E-003,-2.9995339E-001,-2.2524900E-003, 6.6331282E+000, 0.0000000E+000, 2.3162929E+001, 2.3181273E+001, 0.0000000E+000, 4.1422008E-004, 0.0000000E+000, 1.4116859E+003
 4.0026550E+000, 2.1569686E+001,-3.9660066E+000,-2.4496439E-003,-8.3253716E-001,-2.3489194E-003, 6.7564677E+000, 0.0000000E+000, 2.3528923E+001, 2.3522812E+001, 0.0000000E+000, 4.3247798E-004, 0.0000000E+000, 2.3704590E+003
 5.3399801E+000, 2.1724573E+001,-4.0457618E+000,-2.4553182E-003,-1.7425683E+000,-2.3578314E-003, 6.4311561E+000, 0.0000000E+000, 2.2365306E+001, 2.2362585E+001, 0.0000000E+000, 4.3381049E-004, 0.0000000E+000, 3.2869492E+003
 6.6683202E+000, 2.1744184E+001,-4.1461766E+000,-2.4395730E-003,-2.0730966E+000,-2.3751572E-003, 6.2492557E+000, 0.0000000E+000, 2.1769351E+001, 2.1769352E+001, 0.0000000E+000, 4.3390329E-004, 0.0000000E+000, 4.1714878E+003
 8.0040560E+000, 2.1701538E+001,-4.1749434E+000,-2.4299028E-003,-2.3478570E+000,-2.3843029E-003, 6.1263486E+000, 0.0000000E+000, 2.1304497E+001, 2.1300272E+001, 0.0000000E+000, 4.3390972E-004, 0.0000000E+000, 5.0435129E+003
 9.3416471E+000, 2.1655537E+001,-4.2708153E+000,-2.4410288E-003,-2.5381035E+000,-2.3739370E-003, 5.9814506E+000, 0.0000000E+000, 2.0827528E+001, 2.0823254E+001, 0.0000000E+000, 4.3391017E-004, 0.0000000E+000, 5.8961607E+003
 1.0677468E+001, 2.1674644E+001,-4.3076561E+000,-2.4305471E-003,-2.7032692E+000,-2.3836480E-003, 5.9171079E+000, 0.0000000E+000, 2.0580656E+001, 2.0576013E+001, 0.0000000E+000, 4.3391020E-004, 0.0000000E+000, 6.7384893E+003
