s,C,m/s,C,m/s,C,m/s,C,m/s,C,m/s,C,m/s,C,m/s,C,m/s,C,m/s,C,m/s,C,m/s,C,m/s,C,m/s,C,m/s,C,m/s,C,m/s,C,m/s
Time,"T-1","V-1","T-2","V-2","T-3","V-3","T-4","V-4","T-5","V-5","T-6","V-6","T-7","V-7","T-8","V-8","T-9","V-9","T-10","V-10","T-11","V-11","T-12","V-12","T-13","V-13","T-14","V-14","T-15","V-15","T-16","V-16","T-17","V-17"
 0.0000000E+000, 2.0000000E+001, 3.7817402E-003, 2.0000000E+001, 9.4756340E-003, 2.0000000E+001, 4.0569399E-003, 2.0000000E+001, 3.8948375E-004, 2.0000000E+001, 6.1498287E-003, 2.0000000E+001, 6.2855519E-003, 2.0000000E+001, 4.1345172E-003, 2.0000000E+001, 9.5213566E-003, 2.0000000E+001, 8.1862431E-003, 2.0000000E+001, 4.5107108E-003, 2.0000000E+001, 1.0303454E-002, 2.0000000E+001, 8.1185274E-003, 2.0000000E+001, 8.6018875E-003, 2.0000000E+001, 6.8971762E-003, 2.0000000E+001, 3.8847160E-003, 2.0000000E+001, 5.8820645E-003, 2.0000000E+001, 1.0300962E-002
 1.3367310E+000, 5.2226463E+002, 3.3694681E-001, 4.6691500E+002, 8.5709068E-001, 4.0403346E+002, 1.1488616E+000, 3.4223833E+002, 1.2963346E+000, 2.8712281E+002, 1.3564652E+000, 2.3225832E+002, 1.3534472E+000, 1.8602238E+002, 1.3061393E+000, 1.5339082E+002, 1.2357696E+000, 1.2313661E+002, 1.1509323E+000, 1.0598669E+002, 1.0561388E+000, 8.9784941E+001, 9.5886140E-001, 7.7119885E+001, 8.5864971E-001, 6.8051377E+001, 7.6160595E-001, 5.9015080E+001, 6.7201314E-001, 5.3306671E+001, 5.8350134E-001, 4.4678445E+001, 4.9675556E-001, 3.9382437E+001, 4.0526971E-001
 2.6717850E+000, 1.0781255E+003, 6.9513522E-001, 1.1114359E+003, 1.8666499E+000, 1.1439634E+003, 2.7061067E+000, 1.1667873E+003, 3.3372965E+000, 1.1685394E+003, 3.8419242E+000, 1.1321120E+003, 4.2325702E+000, 1.0561209E+003, 4.5259081E+000, 9.6577466E+002, 4.7537960E+000, 8.7505457E+002, 4.9252908E+000, 7.9041608E+002, 5.0568257E+000, 7.1493152E+002, 5.1613391E+000, 6.4920769E+002, 5.2330139E+000, 5.9042545E+002, 5.2720196E+000, 5.4043571E+002, 5.2901365E+000, 4.9608677E+002, 5.2914560E+000, 4.5910074E+002, 5.2872187E+000, 4.2370492E+002, 5.2838391E+000
 4.0027253E+000, 1.0715254E+003, 7.1862191E-001, 1.1004405E+003, 1.8599468E+000, 1.1260192E+003, 2.6976630E+000, 1.1400477E+003, 3.3405633E+000, 1.1287400E+003, 3.8452978E+000, 1.0774672E+003, 4.2232665E+000, 9.9579466E+002, 4.4939257E+000, 9.0000002E+002, 4.6843234E+000, 8.0990068E+002, 4.8030552E+000, 7.2912573E+002, 4.8683556E+000, 6.5972422E+002, 4.9086549E+000, 6.0104416E+002, 4.9392570E+000, 5.5122590E+002, 4.9622567E+000, 5.0664852E+002, 4.9780343E+000, 4.6864475E+002, 4.9933576E+000, 4.3424617E+002, 5.0042485E+000, 4.0280531E+002, 5.0028543E+000
 5.3403344E+000, 1.0234431E+003, 6.8933629E-001, 1.0407187E+003, 1.7707772E+000, 1.0458633E+003, 2.5592141E+000, 1.0043475E+003, 3.1347103E+000, 9.0634544E+002, 3.5075615E+000, 7.8700131E+002, 3.7019320E+000, 6.7009185E+002, 3.7757643E+000, 5.6793498E+002, 3.7717568E+000, 4.8208982E+002, 3.7357015E+000, 4.1367077E+002, 3.6842343E+000, 3.6060679E+002, 3.6143759E+000, 3.1907459E+002, 3.5399321E+000, 2.8598459E+002, 3.4780190E+000, 2.6032520E+002, 3.4236691E+000, 2.3974282E+002, 3.3788558E+000, 2.2070065E+002, 3.3492907E+000, 2.0331360E+002, 3.2932240E+000
 6.6677000E+000, 1.0472163E+003, 6.9904793E-001, 1.0596931E+003, 1.7731735E+000, 1.0596076E+003, 2.5610919E+000, 1.0255721E+003, 3.1374647E+000, 9.4547258E+002, 3.5379940E+000, 8.4144296E+002, 3.8030205E+000, 7.4034334E+002, 3.9681807E+000, 6.5649601E+002, 4.0687923E+000, 5.8451676E+002, 4.1176850E+000, 5.1759657E+002, 4.1265557E+000, 4.5362292E+002, 4.1217632E+000, 3.9469230E+002, 4.0954781E+000, 3.4357181E+002, 4.0401234E+000, 3.0058060E+002, 3.9682020E+000, 2.6858034E+002, 3.8881240E+000, 2.4252940E+002, 3.8033626E+000, 2.2135567E+002, 3.7429121E+000
 8.0086427E+000, 1.0268183E+003, 6.9516914E-001, 1.0348459E+003, 1.7566176E+000, 1.0187457E+003, 2.5325660E+000, 9.5585208E+002, 3.0648184E+000, 8.5524240E+002, 3.3664805E+000, 7.3760879E+002, 3.4965025E+000, 6.1349436E+002, 3.5178936E+000, 5.0195326E+002, 3.4671425E+000, 4.1274437E+002, 3.3739140E+000, 3.4791526E+002, 3.2709967E+000, 2.9906925E+002, 3.1748309E+000, 2.6342734E+002, 3.1120384E+000, 2.3496877E+002, 3.0860291E+000, 2.1156938E+002, 3.0452773E+000, 1.9065614E+002, 2.9792417E+000, 1.7369752E+002, 2.9132798E+000, 1.6060943E+002, 2.8509612E+000
 9.3411023E+000, 1.0467573E+003, 6.6792489E-001, 1.0574724E+003, 1.7700768E+000, 1.0676123E+003, 2.5747076E+000, 1.0581157E+003, 3.1836953E+000, 1.0011237E+003, 3.6318093E+000, 9.0703523E+002, 3.9369403E+000, 8.0782585E+002, 4.1412505E+000, 7.1766677E+002, 4.2708635E+000, 6.3954525E+002, 4.3392729E+000, 5.6898288E+002, 4.3759607E+000, 5.0588708E+002, 4.3899587E+000, 4.4847232E+002, 4.3573061E+000, 3.9845779E+002, 4.2880352E+000, 3.5599797E+002, 4.2281564E+000, 3.1975597E+002, 4.1900662E+000, 2.8762225E+002, 4.1361973E+000, 2.6035872E+002, 4.0455023E+000
 1.0668071E+001, 1.0735379E+003, 6.8019881E-001, 1.0825975E+003, 1.8070169E+000, 1.0965608E+003, 2.6114864E+000, 1.0839152E+003, 3.2025431E+000, 1.0221210E+003, 3.6298546E+000, 9.2285613E+002, 3.9138752E+000, 8.0557656E+002, 4.0933357E+000, 6.9136774E+002, 4.1871330E+000, 5.8907454E+002, 4.2114152E+000, 5.0344639E+002, 4.1776640E+000, 4.3032642E+002, 4.0913631E+000, 3.6776255E+002, 3.9743560E+000, 3.1552039E+002, 3.8462660E+000, 2.7158517E+002, 3.6990122E+000, 2.3759053E+002, 3.5236302E+000, 2.1052256E+002, 3.3478859E+000, 1.8873854E+002, 3.1886554E+000
 1.2004785E+001, 1.0788082E+003, 6.8474605E-001, 1.0836824E+003, 1.7834369E+000, 1.0871707E+003, 2.5990019E+000, 1.0531680E+003, 3.2024553E+000, 9.7476177E+002, 3.6197451E+000, 8.7318226E+002, 3.8903121E+000, 7.6926995E+002, 4.0566186E+000, 6.7203650E+002, 4.1511623E+000, 5.8558281E+002, 4.1943260E+000, 5.1151208E+002, 4.2011630E+000, 4.5115595E+002, 4.1778399E+000, 4.0038340E+002, 4.1292389E+000, 3.5940488E+002, 4.0567968E+000, 3.2130082E+002, 3.9628076E+000, 2.9098422E+002, 3.8622452E+000, 2.6390518E+002, 3.7673896E+000, 2.4210949E+002, 3.6685508E+000
 1.3341862E+001, 1.0548939E+003, 6.8796681E-001, 1.0684549E+003, 1.7730703E+000, 1.0758641E+003, 2.5644113E+000, 1.0477881E+003, 3.1448615E+000, 9.8371485E+002, 3.5660605E+000, 8.9681620E+002, 3.8651851E+000, 8.0653380E+002, 4.0755917E+000, 7.1579747E+002, 4.2261665E+000, 6.4087973E+002, 4.3291848E+000, 5.6341541E+002, 4.3825824E+000, 5.0858533E+002, 4.4050931E+000, 4.4787491E+002, 4.4025122E+000, 4.0227582E+002, 4.3594934E+000, 3.5626776E+002, 4.2737179E+000, 3.1769348E+002, 4.1500815E+000, 2.8207255E+002, 4.0000912E+000, 2.5312252E+002, 3.8301162E+000
 1.4676196E+001, 1.0401858E+003, 6.9256013E-001, 1.0566043E+003, 1.7756363E+000, 1.0643516E+003, 2.5644380E+000, 1.0265123E+003, 3.1320898E+000, 9.5199590E+002, 3.5154810E+000, 8.5585844E+002, 3.7721480E+000, 7.5275415E+002, 3.9305146E+000, 6.5721047E+002, 4.0130571E+000, 5.7642189E+002, 4.0506440E+000, 5.0643586E+002, 4.0468593E+000, 4.4581361E+002, 4.0057684E+000, 3.9547813E+002, 3.9497228E+000, 3.4971232E+002, 3.8855339E+000, 3.1408878E+002, 3.8021981E+000, 2.8107427E+002, 3.7087621E+000, 2.5709467E+002, 3.6095940E+000, 2.3462114E+002, 3.5166564E+000
 1.6004907E+001, 1.0410842E+003, 6.7153059E-001, 1.0655593E+003, 1.7828199E+000, 1.0872312E+003, 2.6099493E+000, 1.0775019E+003, 3.2239854E+000, 1.0185710E+003, 3.6604964E+000, 9.3142345E+002, 3.9598250E+000, 8.3714822E+002, 4.1601215E+000, 7.4450371E+002, 4.2834048E+000, 6.5902588E+002, 4.3520500E+000, 5.8204655E+002, 4.3826908E+000, 5.2009810E+002, 4.3867596E+000, 4.6718778E+002, 4.3768446E+000, 4.2257112E+002, 4.3545688E+000, 3.8167491E+002, 4.3126717E+000, 3.4429402E+002, 4.2491968E+000, 3.1290514E+002, 4.1558032E+000, 2.8643586E+002, 4.0363255E+000
 1.7340128E+001, 1.0602148E+003, 6.8341857E-001, 1.0792468E+003, 1.7869389E+000, 1.0922785E+003, 2.5815704E+000, 1.0759752E+003, 3.1737934E+000, 1.0209187E+003, 3.6008949E+000, 9.3970496E+002, 3.8987187E+000, 8.4214179E+002, 4.1063781E+000, 7.4913870E+002, 4.2511665E+000, 6.6278782E+002, 4.3434686E+000, 5.9068718E+002, 4.3954290E+000, 5.2756284E+002, 4.4153532E+000, 4.7604495E+002, 4.4030789E+000, 4.2757641E+002, 4.3774380E+000, 3.8736196E+002, 4.3462942E+000, 3.5346405E+002, 4.2841484E+000, 3.2756125E+002, 4.1939799E+000, 3.0359441E+002, 4.0962227E+000
 1.8671735E+001, 1.0756264E+003, 6.8404941E-001, 1.0770484E+003, 1.7762903E+000, 1.0799408E+003, 2.5830510E+000, 1.0524448E+003, 3.1614225E+000, 9.7832320E+002, 3.5585357E+000, 8.8285061E+002, 3.8271234E+000, 7.8088607E+002, 3.9980568E+000, 6.8415604E+002, 4.0985006E+000, 5.9382001E+002, 4.1476272E+000, 5.1824205E+002, 4.1422339E+000, 4.5600427E+002, 4.0931995E+000, 4.0403886E+002, 4.0251979E+000, 3.6470804E+002, 3.9399774E+000, 3.3401836E+002, 3.8296683E+000, 3.0671162E+002, 3.7223400E+000, 2.8367283E+002, 3.6274727E+000, 2.6248531E+002, 3.5328276E+000
 2.0001511E+001, 1.0488680E+003, 6.9763231E-001, 1.0374376E+003, 1.7494421E+000, 9.9319753E+002, 2.4670805E+000, 9.1324225E+002, 2.9446366E+000, 8.1274232E+002, 3.2528504E+000, 7.0438545E+002, 3.4394007E+000, 5.9793528E+002, 3.5158873E+000, 5.0036567E+002, 3.5017219E+000, 4.2650448E+002, 3.4259524E+000, 3.7048519E+002, 3.3430404E+000, 3.2806582E+002, 3.2803172E+000, 2.9874171E+002, 3.2164963E+000, 2.7571572E+002, 3.1561737E+000, 2.5719018E+002, 3.1152445E+000, 2.4313698E+002, 3.0866524E+000, 2.2973450E+002, 3.0515366E+000, 2.1739342E+002, 3.0008014E+000
 2.1334169E+001, 1.0589661E+003, 7.4557762E-001, 1.0410404E+003, 1.7381734E+000, 9.9542655E+002, 2.4453986E+000, 9.1857788E+002, 2.9347521E+000, 8.2870716E+002, 3.2479595E+000, 7.2986737E+002, 3.4695982E+000, 6.4467413E+002, 3.6065576E+000, 5.6737565E+002, 3.6662613E+000, 4.9708399E+002, 3.6848119E+000, 4.2750029E+002, 3.6188003E+000, 3.6807756E+002, 3.4902314E+000, 3.1853056E+002, 3.3465984E+000, 2.8152101E+002, 3.2004528E+000, 2.5394671E+002, 3.0582618E+000, 2.3560293E+002, 2.9156949E+000, 2.1847286E+002, 2.7970710E+000, 2.0613763E+002, 2.7155688E+000
 2.2674827E+001, 1.0466006E+003, 7.5439948E-001, 1.0342378E+003, 1.7242821E+000, 9.8096867E+002, 2.4212170E+000, 8.7701708E+002, 2.8682353E+000, 7.5197226E+002, 3.1062464E+000, 6.4675853E+002, 3.2106759E+000, 5.5624683E+002, 3.2509431E+000, 4.6889345E+002, 3.2457475E+000, 3.9966244E+002, 3.1465458E+000, 3.4100822E+002, 2.9850105E+000, 2.9538537E+002, 2.8427218E+000, 2.5977338E+002, 2.6804297E+000, 2.3037930E+002, 2.5253887E+000, 2.0912474E+002, 2.4040438E+000, 1.8963690E+002, 2.2893595E+000, 1.7210364E+002, 2.1760930E+000, 1.5891387E+002, 2.0975166E+000
 2.4003490E+001, 1.0274862E+003, 7.2960288E-001, 1.0198289E+003, 1.7128620E+000, 9.7177794E+002, 2.3842926E+000, 8.7870586E+002, 2.8184116E+000, 7.6181260E+002, 3.0610157E+000, 6.4197588E+002, 3.1709316E+000, 5.4479399E+002, 3.1982163E+000, 4.6489181E+002, 3.1835782E+000, 4.0351136E+002, 3.1639128E+000, 3.5587517E+002, 3.1369000E+000, 3.2121074E+002, 3.0996401E+000, 2.9100059E+002, 3.0616731E+000, 2.6687358E+002, 3.0111891E+000, 2.4579635E+002, 2.9368595E+000, 2.2950832E+002, 2.8886927E+000, 2.1934772E+002, 2.8954969E+000, 2.1186259E+002, 2.8870280E+000
 2.5339338E+001, 1.0519124E+003, 6.9145150E-001, 1.0615294E+003, 1.7582427E+000, 1.0653623E+003, 2.5027209E+000, 1.0165241E+003, 3.0294912E+000, 9.4406673E+002, 3.3694622E+000, 8.4275354E+002, 3.6002788E+000, 7.3261563E+002, 3.7391620E+000, 6.2977765E+002, 3.7759636E+000, 5.3880570E+002, 3.7418995E+000, 4.5225889E+002, 3.6628832E+000, 3.8187354E+002, 3.5391900E+000, 3.2835015E+002, 3.3878829E+000, 2.8707456E+002, 3.2348584E+000, 2.5280596E+002, 3.0684971E+000, 2.2603541E+002, 2.8684510E+000, 2.0330660E+002, 2.6708737E+000, 1.8752936E+002, 2.5048805E+000
 2.6670738E+001, 1.0330035E+003, 7.0394701E-001, 1.0133598E+003, 1.6822492E+000, 9.4172058E+002, 2.3402063E+000, 8.3776644E+002, 2.7273169E+000, 7.3450651E+002, 2.9207115E+000, 6.3187402E+002, 3.0021273E+000, 5.4456874E+002, 3.0430234E+000, 4.7852652E+002, 3.0705088E+000, 4.2913030E+002, 3.0753754E+000, 3.9022717E+002, 3.0555790E+000, 3.5472291E+002, 3.0370901E+000, 3.2469057E+002, 3.0261584E+000, 2.9994996E+002, 2.9961754E+000, 2.8053609E+002, 2.9597355E+000, 2.6058445E+002, 2.9414623E+000, 2.4276234E+002, 2.9055694E+000, 2.2614748E+002, 2.8324446E+000
 2.8008833E+001, 1.0013644E+003, 7.2894928E-001, 1.0040703E+003, 1.7147552E+000, 9.7241627E+002, 2.3890447E+000, 9.0613235E+002, 2.8506096E+000, 8.1361460E+002, 3.1460729E+000, 7.1639874E+002, 3.3213787E+000, 6.2396221E+002, 3.4102719E+000, 5.3971194E+002, 3.4433771E+000, 4.6536817E+002, 3.4564995E+000, 4.0729437E+002, 3.4552587E+000, 3.6561197E+002, 3.4183884E+000, 3.3376458E+002, 3.3489254E+000, 3.0945051E+002, 3.2839845E+000, 2.8921222E+002, 3.2225681E+000, 2.7130116E+002, 3.1608726E+000, 2.5551649E+002, 3.1057044E+000, 2.4007162E+002, 3.0501956E+000
 2.9337023E+001, 1.0060503E+003, 7.0382489E-001, 1.0234258E+003, 1.7096035E+000, 9.8460362E+002, 2.3983800E+000, 8.9484777E+002, 2.8432288E+000, 7.8239476E+002, 3.1096226E+000, 6.8870167E+002, 3.2647940E+000, 6.1732262E+002, 3.3505719E+000, 5.5642708E+002, 3.4186136E+000, 5.0737210E+002, 3.4845092E+000, 4.6434997E+002, 3.5292585E+000, 4.2951217E+002, 3.5609309E+000, 3.9554940E+002, 3.5842002E+000, 3.6734952E+002, 3.5810268E+000, 3.3703236E+002, 3.5392090E+000, 3.1473428E+002, 3.4709230E+000, 2.9200396E+002, 3.4089511E+000, 2.7355861E+002, 3.3402035E+000
 3.0667137E+001, 1.0038182E+003, 7.1287640E-001, 1.0198601E+003, 1.6832961E+000, 9.9948622E+002, 2.3781762E+000, 9.4083239E+002, 2.8441296E+000, 8.5725419E+002, 3.1636262E+000, 7.6626376E+002, 3.3833865E+000, 6.7412260E+002, 3.5234147E+000, 5.9333123E+002, 3.6006650E+000, 5.2654746E+002, 3.6234003E+000, 4.6990916E+002, 3.6038013E+000, 4.2410555E+002, 3.5636702E+000, 3.8406051E+002, 3.5247847E+000, 3.5249173E+002, 3.4806927E+000, 3.2466090E+002, 3.4290627E+000, 3.0092935E+002, 3.3769371E+000, 2.7872293E+002, 3.3166046E+000, 2.6235872E+002, 3.2561772E+000
 3.2007278E+001, 1.0298524E+003, 6.9061803E-001, 1.0319396E+003, 1.6655218E+000, 1.0080373E+003, 2.3555110E+000, 9.3242188E+002, 2.8250397E+000, 8.1891745E+002, 3.0969057E+000, 7.0541454E+002, 3.2248908E+000, 6.0067010E+002, 3.2593665E+000, 5.1160462E+002, 3.2105150E+000, 4.3870731E+002, 3.1078618E+000, 3.8186486E+002, 3.0084795E+000, 3.3721984E+002, 2.9146426E+000, 3.0572390E+002, 2.7843073E+000, 2.8094112E+002, 2.6503185E+000, 2.6200920E+002, 2.5857471E+000, 2.4636996E+002, 2.5648506E+000, 2.3279221E+002, 2.5583491E+000, 2.2181930E+002, 2.5385747E+000
 3.3337865E+001, 1.0946726E+003, 7.2109849E-001, 1.0827076E+003, 1.7322418E+000, 1.0491714E+003, 2.4258237E+000, 9.7743388E+002, 2.8847912E+000, 8.8086759E+002, 3.1778304E+000, 7.8042999E+002, 3.3585983E+000, 6.8223461E+002, 3.4614067E+000, 5.9290094E+002, 3.5090690E+000, 5.1617939E+002, 3.5163894E+000, 4.5345270E+002, 3.4852860E+000, 4.0520727E+002, 3.4300514E+000, 3.7078031E+002, 3.3876292E+000, 3.4191110E+002, 3.3399115E+000, 3.1566603E+002, 3.2678272E+000, 2.9269115E+002, 3.2010284E+000, 2.7391208E+002, 3.1575000E+000, 2.5675350E+002, 3.1237104E+000
 3.4667488E+001, 1.1008386E+003, 6.8882485E-001, 1.0731503E+003, 1.6339842E+000, 1.0235036E+003, 2.3030699E+000, 9.4783234E+002, 2.7449386E+000, 8.6112161E+002, 3.0336711E+000, 7.6962199E+002, 3.2287603E+000, 6.7898192E+002, 3.3569883E+000, 5.9774000E+002, 3.4368272E+000, 5.2935775E+002, 3.4840193E+000, 4.7585103E+002, 3.4920857E+000, 4.2794877E+002, 3.4687750E+000, 3.8353265E+002, 3.4160499E+000, 3.4896846E+002, 3.3601772E+000, 3.1704374E+002, 3.2986805E+000, 2.9032919E+002, 3.1944495E+000, 2.6412358E+002, 3.0574334E+000, 2.4336502E+002, 2.9160502E+000
 3.6000639E+001, 1.0121397E+003, 6.7451671E-001, 1.0087217E+003, 1.6330318E+000, 9.6261098E+002, 2.2717829E+000, 8.7562487E+002, 2.6903307E+000, 7.7146380E+002, 2.9578568E+000, 6.7553146E+002, 3.1126934E+000, 5.9589203E+002, 3.1951357E+000, 5.2937154E+002, 3.2364866E+000, 4.7538955E+002, 3.2444523E+000, 4.2715777E+002, 3.2404983E+000, 3.8525703E+002, 3.2206702E+000, 3.4576629E+002, 3.1744772E+000, 3.1454880E+002, 3.1102519E+000, 2.8907215E+002, 3.0199465E+000, 2.6863209E+002, 2.9068624E+000, 2.5044222E+002, 2.7907504E+000, 2.3589300E+002, 2.6992555E+000
