,,s,s,s
Time Step,Wall Time,Step Size,Simulation Time,CPU Time
      1,2022-06-06T11:04:16.222+02:00,   0.463E-01,   0.04629,   0.939E+01
      2,2022-06-06T11:04:16.321+02:00,   0.463E-01,   0.09258,   0.983E+01
      3,2022-06-06T11:04:16.445+02:00,   0.463E-01,   0.13887,   0.103E+02
      4,2022-06-06T11:04:16.538+02:00,   0.463E-01,   0.18516,   0.106E+02
      5,2022-06-06T11:04:16.646+02:00,   0.463E-01,   0.23146,   0.111E+02
      6,2022-06-06T11:04:16.774+02:00,   0.463E-01,   0.27775,   0.116E+02
      7,2022-06-06T11:04:16.870+02:00,   0.463E-01,   0.32404,   0.120E+02
      8,2022-06-06T11:04:16.965+02:00,   0.463E-01,   0.37033,   0.124E+02
      9,2022-06-06T11:04:17.103+02:00,   0.463E-01,   0.41662,   0.129E+02
     10,2022-06-06T11:04:17.231+02:00,   0.463E-01,   0.46291,   0.134E+02
     20,2022-06-06T11:04:18.569+02:00,   0.188E-01,   0.80166,   0.187E+02
     30,2022-06-06T11:04:19.771+02:00,   0.107E-01,   0.94059,   0.235E+02
     40,2022-06-06T11:04:20.807+02:00,   0.107E-01,   1.04767,   0.277E+02
     50,2022-06-06T11:04:22.055+02:00,   0.106E-01,   1.15746,   0.326E+02
     60,2022-06-06T11:04:23.447+02:00,   0.758E-02,   1.24086,   0.380E+02
     70,2022-06-06T11:04:24.860+02:00,   0.834E-02,   1.31972,   0.435E+02
     80,2022-06-06T11:04:25.977+02:00,   0.834E-02,   1.40313,   0.480E+02
     90,2022-06-06T11:04:27.130+02:00,   0.834E-02,   1.48654,   0.526E+02
    100,2022-06-06T11:04:28.214+02:00,   0.834E-02,   1.56995,   0.570E+02
    200,2022-06-06T11:04:39.681+02:00,   0.742E-02,   2.31370,   0.102E+03
    300,2022-06-06T11:04:50.945+02:00,   0.797E-02,   3.05029,   0.147E+03
    400,2022-06-06T11:05:05.551+02:00,   0.837E-02,   3.84388,   0.201E+03
    500,2022-06-06T11:05:19.204+02:00,   0.864E-02,   4.67295,   0.253E+03
    600,2022-06-06T11:05:33.173+02:00,   0.741E-02,   5.43411,   0.306E+03
    700,2022-06-06T11:05:46.639+02:00,   0.847E-02,   6.26946,   0.358E+03
    800,2022-06-06T11:06:00.030+02:00,   0.886E-02,   7.13972,   0.409E+03
    900,2022-06-06T11:06:13.443+02:00,   0.857E-02,   7.96557,   0.461E+03
   1000,2022-06-06T11:06:26.953+02:00,   0.741E-02,   8.77255,   0.513E+03
   1100,2022-06-06T11:06:39.725+02:00,   0.905E-02,   9.59589,   0.562E+03
   1200,2022-06-06T11:06:51.616+02:00,   0.760E-02,  10.43217,   0.609E+03
   1300,2022-06-06T11:07:02.286+02:00,   0.798E-02,  11.26058,   0.652E+03
   1400,2022-06-06T11:07:12.892+02:00,   0.858E-02,  12.12169,   0.694E+03
   1500,2022-06-06T11:07:23.578+02:00,   0.775E-02,  12.98090,   0.737E+03
   1600,2022-06-06T11:07:34.269+02:00,   0.790E-02,  13.83364,   0.779E+03
   1700,2022-06-06T11:07:44.866+02:00,   0.980E-02,  14.68648,   0.822E+03
   1800,2022-06-06T11:07:55.482+02:00,   0.886E-02,  15.58053,   0.864E+03
   1900,2022-06-06T11:08:06.105+02:00,   0.886E-02,  16.45750,   0.907E+03
   2000,2022-06-06T11:08:16.672+02:00,   0.857E-02,  17.34101,   0.949E+03
   2100,2022-06-06T11:08:27.241+02:00,   0.793E-02,  18.22632,   0.991E+03
   2200,2022-06-06T11:08:37.739+02:00,   0.100E-01,  19.14918,   0.103E+04
   2300,2022-06-06T11:08:48.282+02:00,   0.906E-02,  20.06179,   0.108E+04
   2400,2022-06-06T11:08:58.892+02:00,   0.907E-02,  20.99408,   0.112E+04
   2500,2022-06-06T11:09:09.395+02:00,   0.943E-02,  21.90497,   0.116E+04
   2600,2022-06-06T11:09:19.879+02:00,   0.883E-02,  22.84919,   0.120E+04
   2700,2022-06-06T11:09:30.421+02:00,   0.788E-02,  23.73547,   0.124E+04
   2800,2022-06-06T11:09:41.159+02:00,   0.967E-02,  24.63902,   0.129E+04
   2900,2022-06-06T11:09:51.778+02:00,   0.896E-02,  25.56479,   0.133E+04
   3000,2022-06-06T11:10:03.053+02:00,   0.911E-02,  26.49963,   0.137E+04
   3100,2022-06-06T11:10:15.008+02:00,   0.985E-02,  27.45999,   0.142E+04
   3200,2022-06-06T11:10:25.492+02:00,   0.994E-02,  28.43229,   0.146E+04
   3300,2022-06-06T11:10:36.327+02:00,   0.935E-02,  29.37698,   0.151E+04
   3400,2022-06-06T11:10:46.899+02:00,   0.103E-01,  30.32847,   0.155E+04
   3500,2022-06-06T11:10:58.774+02:00,   0.102E-01,  31.29235,   0.160E+04
   3600,2022-06-06T11:11:09.753+02:00,   0.891E-02,  32.26129,   0.164E+04
   3700,2022-06-06T11:11:20.627+02:00,   0.108E-01,  33.27979,   0.168E+04
   3800,2022-06-06T11:11:31.521+02:00,   0.117E-01,  34.32287,   0.173E+04
   3900,2022-06-06T11:11:42.457+02:00,   0.971E-02,  35.30150,   0.177E+04
   4000,2022-06-06T11:11:53.681+02:00,   0.113E-01,  36.31034,   0.181E+04
